text,label
You are so dumb,1
I hate everything you post,1
You are awesome,0
This is a nice comment,0
Stop being so annoying,1
Have a wonderful day,0
You are a loser,1
Thanks for sharing,0
Your post is terrible,1
I like your attitude,0
fuck,1
shit,1
I will kill you,1
go to hell,1
you're a great friend,0
keep spreading positivity,0
thanks for helping,0
this made my day better,0
wonderful contribution,0
stay blessed,0
you inspire me,0
idiot,1
stupid moron,1
just die already,1
get lost loser,1
worthless piece of trash,1
nobody likes you,1
delete your account,1
kill yourself,1
"I'll kill you",1
"I'm coming for you",1
"You should just disappear",1
"I hope you rot",1
"Burn in hell",1
"I want you dead",1
"You're trash",1
"Screw you",1
"Die you piece of crap",1
"Someone should kill you",1
"I'll break your legs",1
"I'll make you regret this",1
"You don't deserve to live",1
"Keep your opinions to yourself",0
"Great job",0
"Nice share",0
"Please stop",0
"This is helpful",0
"Could be better",0
,"You're pathetic",1
,"Go cry somewhere else",1
,"No one cares about you",1
,"You should be ashamed",1
,"What a waste of space",1
,"You make me sick",1
,"Ugly inside and out",1
,"Hope you suffer",1
,"Everyone hates you",1
,"You deserve pain",1
,"Looking forward to your input",0
,"Very interesting perspective",0
,"Thank you for sharing this",0
,"You're making progress",0
,"Keep up the good work",0
,"This helps a lot",0
,"Your words matter",0
,"Appreciate your contribution",0
,"Well explained",0
,"You're disgusting",1
,"Wish you would disappear",1
,"Can't stand your existence",1
,"You're worthless",1
,"What a joke you are",1
,"Total failure",1
,"End yourself",1
,"Just quit already",1
,"Nobody wants you here",1
,"You should be eliminated",1
,"Really valuable insights",0
,"This is enlightening",0
,"Keep sharing",0
,"Positive vibes only",0
,"Much appreciated",0
text,label
"Why are you always so childish? Grow up.",Harassment
"Nobody invited you to the study group — again.",Exclusion
"Haha your presentation was so boring, I almost fell asleep.",Mockery
"Stop messaging me 20 times a day. It's annoying.",Unwanted contact
"That post was totally inappropriate for class. Keep it to yourself.",Inappropriate comments
"They say Alex cheated on the assignment — weird.",Social bullying
"You're such a loser when it comes to sports.",Harassment
"We purposely didn't tell Sam about the event.",Exclusion
"LOL look at their picture, the filter didn't help.",Mockery
"Please stop sending links. It's spam.",Unwanted contact
"That joke about her background was off — inappropriate.",Inappropriate comments
"Someone's been posting mean things about you in the group chat.",Social bullying
"You always do everything wrong in labs.",Harassment
"We all agreed to ignore his messages today.",Exclusion
"Your handwriting looks like a toddler's.",Mockery
"Stop DMing me at night. It's not okay.",Unwanted contact
"That meme is offensive and crossing the line.",Inappropriate comments
"They're spreading a rumor that she failed the semester.",Social bullying
"Why would anyone follow you? Strange choice.",Harassment
"We didn't include her name on purpose.",Exclusion
"Nice try — you clearly didn't study for the test.",Mockery
"Stop sending me unsolicited friendship requests.",Unwanted contact
"That comment about race was inappropriate for the forum.",Inappropriate comments
"They keep whispering about you in the hallway.",Social bullying
"Your coding style is pathetic.",Harassment
"We told them not to come — they didn't belong here.",Exclusion
"Who dressed you today? Disaster.",Mockery
"Stop tagging me in posts I didn't ask for.",Unwanted contact
"That comment about religion was inappropriate.",Inappropriate comments
"Someone created a chat to laugh at his posts.",Social bullying
"You're always the slowest in group tasks.",Harassment
"We left her off the invite list because she complains.",Exclusion
"Your accent makes it hard to understand — weird.",Mockery
"Please stop adding me to unknown groups.",Unwanted contact
"That photo was a poor choice — too revealing for class.",Inappropriate comments
"Rumor: he flunked because he copied answers.",Social bullying
"Why are you such a know-it-all? Nobody likes that.",Harassment
"We decided not to partner with her this semester.",Exclusion
"LOL your code crashed in front of everyone.",Mockery
"Please stop sending pictures at work hours.",Unwanted contact
"That meme was sexist and unsuitable here.",Inappropriate comments
"They made fun of him for his scholarship.",Social bullying
"You're hopeless at organizing events.",Harassment
"We purposely walk the other way when she comes.",Exclusion
"Enjoyed watching you stumble through that talk — oops.",Mockery
"Stop sending me voice notes every five minutes.",Unwanted contact
"That remark about someone's weight was inappropriate.",Inappropriate comments
"He keeps telling everyone she cheated — looks bad.",Social bullying
"You always ruin the playlist with your songs.",Harassment
"We excluded him from the photo on purpose.",Exclusion
"Haha, your idea was so dumb I can't stop laughing.",Mockery
"Stop sending unsolicited business pitches here.",Unwanted contact
"That comment about gender was inappropriate and hurtful.",Inappropriate comments
"They're always whispering that you're desperate for friends.",Social bullying
"You're useless at this task.",Harassment
"We won't invite him next time; he never contributes.",Exclusion
"Your haircut looked ridiculous in the event photos.",Mockery
"Please stop adding me to meeting reminders I don't attend.",Unwanted contact
"That post about immigration was inappropriate here.",Inappropriate comments
"They started a thread jokingly comparing people — it hurt her feelings.",Social bullying
