text,label
This is fantastic!,0
You look disgusting!,1
Good luck!,0
"Get lost, idiot!",1
You're pathetic.,1
I hate your face!,1
You’re such a waste of space!,1
I hope you have a wonderful day!,0
You look nice today.,0
You're a fat pig!,1
You suck!,1
What a moron!,1
You're worthless!,1
"Stop talking, freak!",1
You're a total failure!,1
You did an amazing job!,0
You are so ugly!,1
You're pathetic.,1
Nice work!,0
You're very talented.,0
You're worthless!,1
Good luck!,0
You have such a positive attitude!,0
You did an amazing job!,0
I like your style!,0
What a moron!,1
That was a great performance.,0
I like your style!,0
Go cry somewhere else!,1
You suck!,1
You're such a loser!,1
You are so ugly!,1
Nice work!,0
You're really improving!,0
I hate your face!,1
You're very talented.,0
You did an amazing job!,0
Nobody likes you!,1
You have such a positive attitude!,0
Nobody likes you!,1
You are so ugly!,1
That’s awesome!,0
You’re so stupid!,1
Nice work!,0
Have a great day!,0
Keep up the good work!,0
Have a great day!,0
Well done!,0
You’re a great person!,0
"Stop talking, freak!",1
I hate your face!,1
You’re so stupid!,1
You're very talented.,0
This is fantastic!,0
No one wants you here!,1
Nobody likes you!,1
You're pathetic.,1
Have a great day!,0
Nice work!,0
That was a great performance.,0
I'm happy to see your progress!,0
You’re a great person!,0
I'm proud of your effort.,0
You're worthless!,1
Well done!,0
I'm proud of your effort.,0
Keep up the good work!,0
I hate your face!,1
You're very talented.,0
This is fantastic!,0
You have such a positive attitude!,0
You're pathetic.,1
Go die alone!,1
This is fantastic!,0
You look nice today.,0
You're really improving!,0
I like your style!,0
You’re so stupid!,1
You are so ugly!,1
You're worthless!,1
This is fantastic!,0
That’s awesome!,0
I'm proud of your effort.,0
"Get lost, idiot!",1
Go die alone!,1
You're a fat pig!,1
Well done!,0
"Get lost, idiot!",1
You're a total failure!,1
"Stop talking, freak!",1
You're an embarrassment!,1
Well done!,0
You look nice today.,0
Have a great day!,0
I hope you have a wonderful day!,0
You have such a positive attitude!,0
This is fantastic!,0
You're a total failure!,1
You suck!,1
You're such a loser!,1
You're pathetic.,1
Good luck!,0
You can do this!,0
This is fantastic!,0
You’re a great person!,0
Well done!,0
You're such a loser!,1
You're really improving!,0
You look nice today.,0
I'm happy to see your progress!,0
Go die alone!,1
This is fantastic!,0
You're dumb as hell!,1
You are so ugly!,1
You're worthless!,1
Well done!,0
You’re so stupid!,1
You’re a great person!,0
You're pathetic.,1
That’s so kind of you.,0
Keep up the good work!,0
You're a fat pig!,1
I'm proud of your effort.,0
No one wants you here!,1
You're worthless!,1
This is fantastic!,0
You're such a loser!,1
Nice work!,0
You're very talented.,0
You're an embarrassment!,1
You’re such a waste of space!,1
You have such a positive attitude!,0
That’s awesome!,0
"Stop talking, freak!",1
I'm happy to see your progress!,0
Go cry somewhere else!,1
That’s so kind of you.,0
That’s so kind of you.,0
You’re a great person!,0
Go cry somewhere else!,1
Have a great day!,0
You're a total failure!,1
You're a total failure!,1
You’re such a waste of space!,1
Nice work!,0
You’re such a waste of space!,1
You're a fat pig!,1
I like your style!,0
"Get lost, idiot!",1
You're really improving!,0
You're such a loser!,1
Have a great day!,0
What a moron!,1
Have a great day!,0
This is fantastic!,0
You're a total failure!,1
That’s so kind of you.,0
You are so ugly!,1
"Stop talking, freak!",1
I hate your face!,1
You are so ugly!,1
You have such a positive attitude!,0
You're dumb as hell!,1
"Get lost, idiot!",1
You look nice today.,0
I like your style!,0
You're a fat pig!,1
Well done!,0
"Stop talking, freak!",1
Nobody likes you!,1
You're dumb as hell!,1
Go cry somewhere else!,1
You have such a positive attitude!,0
"Get lost, idiot!",1
Nice work!,0
You can do this!,0
That’s so kind of you.,0
That’s awesome!,0
You're pathetic.,1
You have such a positive attitude!,0
You’re a great person!,0
Have a great day!,0
I'm proud of your effort.,0
You have such a positive attitude!,0
You’re a great person!,0
You're pathetic.,1
You're a total failure!,1
You're an embarrassment!,1
You're dumb as hell!,1
You have such a positive attitude!,0
Nobody likes you!,1
I'm happy to see your progress!,0
You're a fat pig!,1
You did an amazing job!,0
Good luck!,0
Good luck!,0
Nice work!,0
Have a great day!,0
This is fantastic!,0
"Stop talking, freak!",1
That’s so kind of you.,0
You have such a positive attitude!,0
You look disgusting!,1
You're dumb as hell!,1
That’s so kind of you.,0
You’re such a waste of space!,1
What a moron!,1
"Stop talking, freak!",1
Well done!,0
You're an embarrassment!,1
"Get lost, idiot!",1
You're a fat pig!,1
You're really improving!,0
That’s awesome!,0
That was a great performance.,0
You suck!,1
This is fantastic!,0
That’s awesome!,0
You’re so stupid!,1
You're a fat pig!,1
You’re a great person!,0
You're dumb as hell!,1
You are so ugly!,1
You are so ugly!,1
You’re so stupid!,1
I hate your face!,1
That was a great performance.,0
I'm proud of your effort.,0
You're really improving!,0
You are so ugly!,1
You are so ugly!,1
You're dumb as hell!,1
You're pathetic.,1
This is fantastic!,0
Go cry somewhere else!,1
You're a total failure!,1
You're a total failure!,1
You're dumb as hell!,1
Go cry somewhere else!,1
Have a great day!,0
You're a total failure!,1
This is fantastic!,0
You're a total failure!,1
You're a total failure!,1
No one wants you here!,1
Have a great day!,0
Go cry somewhere else!,1
You're very talented.,0
Go die alone!,1
This is fantastic!,0
That was a great performance.,0
Good luck!,0
You're pathetic.,1
You’re a great person!,0
I hate your face!,1
You're such a loser!,1
I hope you have a wonderful day!,0
You're very talented.,0
This is fantastic!,0
No one wants you here!,1
I hate your face!,1
Keep up the good work!,0
This is fantastic!,0
"Get lost, idiot!",1
"Get lost, idiot!",1
I hate your face!,1
Nobody likes you!,1
You’re a great person!,0
You're an embarrassment!,1
You suck!,1
You're really improving!,0
You're very talented.,0
You are so ugly!,1
You're worthless!,1
You look nice today.,0
You did an amazing job!,0
Good luck!,0
"Stop talking, freak!",1
Good luck!,0
I'm happy to see your progress!,0
You’re such a waste of space!,1
You're pathetic.,1
No one wants you here!,1
That was a great performance.,0
You have such a positive attitude!,0
Nice work!,0
You're a fat pig!,1
This is fantastic!,0
You are so ugly!,1
I like your style!,0
You're a fat pig!,1
Go cry somewhere else!,1
You’re such a waste of space!,1
You’re so stupid!,1
Well done!,0
You can do this!,0
That’s so kind of you.,0
That’s awesome!,0
"Stop talking, freak!",1
Go cry somewhere else!,1
Keep up the good work!,0
Nice work!,0
You can do this!,0
You're worthless!,1
You’re so stupid!,1
You're a total failure!,1
This is fantastic!,0
I hate your face!,1
This is fantastic!,0
You're a total failure!,1
You're such a loser!,1
You're dumb as hell!,1
Go die alone!,1
That’s awesome!,0
Nobody likes you!,1
I'm happy to see your progress!,0
That’s so kind of you.,0
No one wants you here!,1
You're a total failure!,1
You're dumb as hell!,1
Keep up the good work!,0
You’re so stupid!,1
You're an embarrassment!,1
Good luck!,0
Go die alone!,1
You're a fat pig!,1
You're an embarrassment!,1
You did an amazing job!,0
You're worthless!,1
That was a great performance.,0
You’re a great person!,0
