text,label
You are so dumb,1
I hate everything you post,1
You are awesome,0
This is a nice comment,0
Stop being so annoying,1
Have a wonderful day,0
You are a loser,1
Thanks for sharing,0
Your post is terrible,1
I like your attitude,0
fuck,1
shit,1
I will kill you,1
go to hell,1
you're a great friend,0
keep spreading positivity,0
thanks for helping,0
this made my day better,0
wonderful contribution,0
stay blessed,0
you inspire me,0
idiot,1
stupid moron,1
just die already,1
get lost loser,1
worthless piece of trash,1
nobody likes you,1
delete your account,1
kill yourself,1
"I'll kill you",1
"I'm coming for you",1
"You should just disappear",1
"I hope you rot",1
"Burn in hell",1
"I want you dead",1
"You're trash",1
"Screw you",1
"Die you piece of crap",1
"Someone should kill you",1
"I'll break your legs",1
"I'll make you regret this",1
"You don't deserve to live",1
"Keep your opinions to yourself",0
"Great job",0
"Nice share",0
"Please stop",0
"This is helpful",0
"Could be better",0
